turnstilelink_link_1,turnstilelink_link_1/_text,turnstilelink_link_1/_title,company_value,turnstilelink_link_2,turnstilelink_link_2/_text,turnstilelink_link_2/_title,turnstilelink_link_2_numbers,label,location_value_1,location_value_2,moreloc_link,moreloc_link/_text,moreloc_link/_title,moreloc_link_numbers,summary_description,ialabel_value,date_value,date_value_numbers,savejob_label,email_link,email_link/_text,email_link/_title,more_label,viewall_label,viewall_link,viewall_link/_text,viewall_link/_title,matitem_link,matitem_link/_text,matitem_link/_title,salarysearch_label,salarysearch_link,salarysearch_link/_text,salarysearch_link/_title,mat_flag,mattext_link,mattext_link/_text,mattext_link/_title,related_label,related_link,related_link/_text,related_link/_title,_PAGE_NUMBER
http://www.indeed.com/rc/clk?jk=6faa196f5412f572,Data Scientist,Data Scientist,WeWork,http://www.indeed.com/cmp/Wework/reviews?jcid=e76dadb9a0d8a2cf,5 reviews,Wework reviews,5,-,"New York, NY 10005",(Financial District area),,,,,"Data Scientist at WeWork UX. If you are an experienced data scientist, and would love to be part of a new approach to physical, digital, and service design, you...",,1 day ago,1,save job,mailto:?subject=I%20found%20this%20job%20on%20Indeed&body=http://www.indeed.com,email,,more...,View all,"http://www.indeed.com/q-Wework-l-New-York,-NY-jobs.html","WeWork jobs in New York, NY",,"http://www.indeed.com/l-New-York,-NY-jobs.html",New York jobs,,Salary Search:,http://www.indeed.com/salary?q1=Data+Scientist&l1=New+York%2C+NY,"Data Scientist salaries in New York, NY",,Learn more about working at,http://www.indeed.com/cmp/Wework?jk=6faa196f5412f572&from=serp-more&campaignid=serp-more&jcid=e76dadb9a0d8a2cf,Wework,,Related forums:,http://www.indeed.com/forum/cmp/Wework.html,WeWork,,2
http://www.indeed.com/rc/clk?jk=7c8ebfca47d59121,"Data Scientist, Customer Insights","Data Scientist, Customer Insights",Williams-Sonoma Inc.,"http://www.indeed.com/cmp/Williams--sonoma,-Inc./reviews?jcid=6a8a0df0f6e3ef64",446 reviews,Williams-sonoma reviews,446,-,"San Francisco, CA",,,,,,The Customer Insights Data Scientist delivers actionable customer insights for key marketing and business initiatives by analyzing customer data across all 7...,,,,,,,,,View all,"http://www.indeed.com/jobs?q=Williams-sonoma+Inc&l=San+Francisco,+CA&nc=jasx","Williams-Sonoma Inc. jobs in San Francisco, CA",,"http://www.indeed.com/l-San-Francisco,-CA-jobs.html",San Francisco jobs,,Salary Search:,http://www.indeed.com/salary?q1=Data+Scientist&l1=San+Francisco%2C+CA,"Data Scientist salaries in San Francisco, CA",,Learn more about working at,"http://www.indeed.com/cmp/Williams--sonoma,-Inc.?jk=7c8ebfca47d59121&from=serp-more&campaignid=serp-more&jcid=6a8a0df0f6e3ef64",Williams-sonoma Inc.,,,,,,2
http://www.indeed.com/rc/clk?jk=aaadab187face9a3,Sr. Data Scientist,Sr. Data Scientist,ZEFR,,,,,-,"Santa Monica, CA",,,,,,"Participate as member of the Data Science team, work closely with fellow data scientists, product manager and engineers in other teams....",Easily apply,3 days ago,3,save job,mailto:?subject=I%20found%20this%20job%20on%20Indeed&body=http://www.indeed.com,email,,more...,View all,"http://www.indeed.com/q-Zefr-l-Santa-Monica,-CA-jobs.html","ZEFR jobs in Santa Monica, CA",,"http://www.indeed.com/l-Santa-Monica,-CA-jobs.html",Santa Monica jobs,,Salary Search:,http://www.indeed.com/salary?q1=Senior+Data+Scientist&l1=Santa+Monica%2C+CA,"Senior Data Scientist salaries in Santa Monica, CA",,Learn more about working at,http://www.indeed.com/cmp/Zefr?jk=aaadab187face9a3&from=serp-more&campaignid=serp-more&jcid=05d05c98f3b300ec,Zefr,,Related forums:,http://www.indeed.com/forum/cmp/Zefr.html,Zefr,,2
http://www.indeed.com/rc/clk?jk=ec98883aa8251699,Advanced Analytics Data Scientist,Advanced Analytics Data Scientist,"Red Hat, Inc.",http://www.indeed.com/cmp/Red-Hat/reviews?jcid=4f20080632c23a18,40 reviews,Red Hat reviews,40,-,"Raleigh, NC",,,,,,"Develop machine learning, data mining, and statistical techniques and algorithms to create new, scalable solutions for business problems by analyzing large data...",,1 day ago,1,save job,mailto:?subject=I%20found%20this%20job%20on%20Indeed&body=http://www.indeed.com,email,,more...,View all,"http://www.indeed.com/jobs?q=Red+Hat,+Inc&l=Raleigh,+NC&nc=jasx","Red Hat, Inc. jobs in Raleigh, NC",,"http://www.indeed.com/l-Raleigh,-NC-jobs.html",Raleigh jobs,,Salary Search:,http://www.indeed.com/salary?q1=Advanced+Analytic+Data+Scientist&l1=Raleigh%2C+NC,"Advanced Analytic Data Scientist salaries in Raleigh, NC",,Learn more about working at,http://www.indeed.com/cmp/Red-Hat?jk=ec98883aa8251699&from=serp-more&campaignid=serp-more&jcid=4f20080632c23a18,"Red Hat, Inc.",,Related forums:,http://www.indeed.com/forum/cmp/Red-Hat.html,Red Hat,,2
http://www.indeed.com/rc/clk?jk=f3899eb62ec2308a,Descriptive Analytics - Data Scientist,Descriptive Analytics - Data Scientist,Ford Motor Company,http://www.indeed.com/cmp/Ford-Motor-Company/reviews?jcid=761c44c17d636bfe,"1,515 reviews",Ford Motor Company reviews,1515,-,"Dearborn, MI 48121",,,,,,"At times, the problem is identified by a business unit, frequently wishing to optimize cost, revenue, or improve quality, and at times problems are formulated...",,2 days ago,2,save job,mailto:?subject=I%20found%20this%20job%20on%20Indeed&body=http://www.indeed.com,email,,more...,View all,"http://www.indeed.com/q-Ford-Motor-Company-l-Dearborn,-MI-jobs.html","Ford Motor Company jobs in Dearborn, MI",,"http://www.indeed.com/l-Dearborn,-MI-jobs.html",Dearborn jobs,,Salary Search:,http://www.indeed.com/salary?q1=Descriptive+Analytic&l1=Dearborn%2C+MI,"Descriptive Analytic salaries in Dearborn, MI",,Learn more about working at,http://www.indeed.com/cmp/Ford-Motor-Company?jk=f3899eb62ec2308a&from=serp-more&campaignid=serp-more&jcid=761c44c17d636bfe,Ford Motor Company,,Related forums:,http://www.indeed.com/forum/cmp/Ford-Motor-Company.html,Ford Motor Company,,2
http://www.indeed.com/rc/clk?jk=3fea258cf5debe70,Data Scientist,Data Scientist,"PowerAdvocate, Inc","http://www.indeed.com/cmp/Poweradvocate,-Inc/reviews?jcid=761fd5b8a0715aac",2 reviews,Poweradvocate reviews,2,-,"Boston, MA",,,,,,3+ years of relevant experience in classification-type Machine Learning projects. Do you want to be involved in delivering the next generation of analytic...,,1 day ago,1,save job,mailto:?subject=I%20found%20this%20job%20on%20Indeed&body=http://www.indeed.com,email,,more...,View all,"http://www.indeed.com/jobs?q=Poweradvocate,+Inc&l=Boston,+MA&nc=jasx","PowerAdvocate, Inc jobs in Boston, MA",,"http://www.indeed.com/l-Boston,-MA-jobs.html",Boston jobs,,Salary Search:,http://www.indeed.com/salary?q1=Data+Scientist&l1=Boston%2C+MA,"Data Scientist salaries in Boston, MA",,Learn more about working at,"http://www.indeed.com/cmp/Poweradvocate,-Inc?jk=3fea258cf5debe70&from=serp-more&campaignid=serp-more&jcid=761fd5b8a0715aac","Poweradvocate, Inc",,Related forums:,http://www.indeed.com/forum/cmp/Poweradvocate%2C-Inc.html,"PowerAdvocate, Inc",,2
http://www.indeed.com/rc/clk?jk=01db95b79a5725a7,Senior Scientsit I/II- Analytical R&D,Senior Scientsit I/II- Analytical R&D,Kashiv Pharma LLC.,,,,,-,"Bridgewater, NJ",,,,,,"Train and provide technical guidance to junior scientists. Analyze analytical data, identify trends and provide recommendation....",,,,,,,,,View all,"http://www.indeed.com/q-Kashiv-Pharma-LLC-l-Bridgewater,-NJ-jobs.html","Kashiv Pharma LLC. jobs in Bridgewater, NJ",,"http://www.indeed.com/l-Bridgewater,-NJ-jobs.html",Bridgewater jobs,,Salary Search:,http://www.indeed.com/salary?q1=Senior+Scientsit&l1=Bridgewater%2C+NJ,"Senior Scientsit salaries in Bridgewater, NJ",,,,,,,,,,3
http://www.indeed.com/rc/clk?jk=5f41be37995c69d7,Data Scientist,Data Scientist,Microsoft,http://www.indeed.com/cmp/Microsoft/reviews?jcid=734cb5a01ee60f80,"1,518 reviews",Microsoft reviews,1518,-,"Redmond, WA 98052",,http://www.indeed.com/jobs?q=Data+Scientist&rbt=Data+Scientist&rbc=Microsoft&jtid=1872a3288ede048a&jcid=734cb5a01ee60f80&grp=tcl,+2 locations,,,Exploratory data analytics for continuous and categorical data. Familiarity with use of T-SQL and analytics for data transformation and the application of...,,2 days ago,2,save job,mailto:?subject=I%20found%20this%20job%20on%20Indeed&body=http://www.indeed.com,email,,more...,View all,"http://www.indeed.com/q-Microsoft-l-Redmond,-WA-jobs.html","Microsoft jobs in Redmond, WA",,"http://www.indeed.com/l-Redmond,-WA-jobs.html",Redmond jobs,,Salary Search:,http://www.indeed.com/salary?q1=Data+Scientist&l1=Redmond%2C+WA,"Data Scientist salaries in Redmond, WA",,Learn more about working at,http://www.indeed.com/cmp/Microsoft?jk=5f41be37995c69d7&from=serp-more&campaignid=serp-more&jcid=734cb5a01ee60f80,Microsoft,,Related forums:,http://www.indeed.com/forum/cmp/Microsoft.html,Microsoft,,3
http://www.indeed.com/rc/clk?jk=02031afbf2768f97,"Data Scientist, Ads","Data Scientist, Ads",Facebook,http://www.indeed.com/cmp/Facebook/reviews?jcid=1639254ea84748b5,75 reviews,Facebook reviews,75,-,"Menlo Park, CA",,,,,,"Data Infrastructure Working in hadoop and hive primarily, sometimes mysql, oracle, and vertica Authoring pipelines via SQL and python based ETL framework...",,1 day ago,1,save job,mailto:?subject=I%20found%20this%20job%20on%20Indeed&body=http://www.indeed.com,email,,more...,View all,"http://www.indeed.com/q-Facebook-l-Menlo-Park,-CA-jobs.html","Facebook jobs in Menlo Park, CA",,"http://www.indeed.com/l-Menlo-Park,-CA-jobs.html",Menlo Park jobs,,Salary Search:,http://www.indeed.com/salary?q1=Data+Scientist&l1=Menlo+Park%2C+CA,"Data Scientist salaries in Menlo Park, CA",,Learn more about working at,http://www.indeed.com/cmp/Facebook?jk=02031afbf2768f97&from=serp-more&campaignid=serp-more&jcid=1639254ea84748b5,Facebook,,Related forums:,http://www.indeed.com/forum/cmp/Facebook.html,Facebook,,3
http://www.indeed.com/rc/clk?jk=6faa196f5412f572,Data Scientist,Data Scientist,WeWork,http://www.indeed.com/cmp/Wework/reviews?jcid=e76dadb9a0d8a2cf,5 reviews,Wework reviews,5,-,"New York, NY 10005",(Financial District area),,,,,"Data Scientist at WeWork UX. If you are an experienced data scientist, and would love to be part of a new approach to physical, digital, and service design, you...",,1 day ago,1,save job,mailto:?subject=I%20found%20this%20job%20on%20Indeed&body=http://www.indeed.com,email,,more...,View all,"http://www.indeed.com/q-Wework-l-New-York,-NY-jobs.html","WeWork jobs in New York, NY",,"http://www.indeed.com/l-New-York,-NY-jobs.html",New York jobs,,Salary Search:,http://www.indeed.com/salary?q1=Data+Scientist&l1=New+York%2C+NY,"Data Scientist salaries in New York, NY",,Learn more about working at,http://www.indeed.com/cmp/Wework?jk=6faa196f5412f572&from=serp-more&campaignid=serp-more&jcid=e76dadb9a0d8a2cf,Wework,,Related forums:,http://www.indeed.com/forum/cmp/Wework.html,WeWork,,3
http://www.indeed.com/rc/clk?jk=7c8ebfca47d59121,"Data Scientist, Customer Insights","Data Scientist, Customer Insights",Williams-Sonoma Inc.,"http://www.indeed.com/cmp/Williams--sonoma,-Inc./reviews?jcid=6a8a0df0f6e3ef64",446 reviews,Williams-sonoma reviews,446,-,"San Francisco, CA",,,,,,The Customer Insights Data Scientist delivers actionable customer insights for key marketing and business initiatives by analyzing customer data across all 7...,,,,,,,,,View all,"http://www.indeed.com/jobs?q=Williams-sonoma+Inc&l=San+Francisco,+CA&nc=jasx","Williams-Sonoma Inc. jobs in San Francisco, CA",,"http://www.indeed.com/l-San-Francisco,-CA-jobs.html",San Francisco jobs,,Salary Search:,http://www.indeed.com/salary?q1=Data+Scientist&l1=San+Francisco%2C+CA,"Data Scientist salaries in San Francisco, CA",,Learn more about working at,"http://www.indeed.com/cmp/Williams--sonoma,-Inc.?jk=7c8ebfca47d59121&from=serp-more&campaignid=serp-more&jcid=6a8a0df0f6e3ef64",Williams-sonoma Inc.,,,,,,3
